therapist_name,sub_title,Bio,therapist_url,Specialty,style
James Wagner,"Therapist, Virtual",“My clients don't need a therapist who hands them worksheets; they need someone who will actually sit with them in the hard stuff.”,https://care.headway.co/providers/james-wagner?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'End of life care', 'Family issues']","['Direct', 'Humorous', 'Open-minded']"
Syd Peterson,"Therapist, Virtual","“I see therapy as a partnership—one where your voice, values, and lived experience guide the process.”",https://care.headway.co/providers/syd-peterson?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Empowering', 'Inquisitive', 'Warm']"
Ashley Olson,"Therapist, Virtual","“I have over a decade of experience in social work, bringing a warm, grounded, and compassionate approach to telehealth practice.”",https://care.headway.co/providers/ashley-olson?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Chronic conditions', 'Depression', 'End of life care']","['Affirming', 'Holistic', 'Open-minded']"
Robyn Roberts,"Therapist, Virtual","“I especially enjoy working with queer clients and people of color who've had to fight for their safety, voice, or belonging.”",https://care.headway.co/providers/robyn-roberts?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Affirming', 'Inquisitive', 'Open-minded']"
Dennis Pleimann,"Therapist, Virtual","“My therapeutic style is engaging and directive, combining a holistic approach with training in cognitive behavioral therapy, motivational interviewing, mindfulness based stress reduction...”",https://care.headway.co/providers/dennis-pleimann?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Depression']","['Affirming', 'Creative', 'Empowering']"
Jennifer Esquivel-Parker,"Therapist, Virtual & in-person","“Hello and welcome! There is so much I want to share with you!I acknowledge that finding a therapist can sometimes feel overwhelming because you want to find a good fit, someone who “gets” you, so I thank you for being here.I identify as a Latinx,...”",https://care.headway.co/providers/jennifer-esquivel-parker?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Affirming', 'Empowering', 'Warm']"
Amanda Silvers,"Therapist, Virtual","“Amanda developed a hands-on approach towards facilitating individual and group therapy while working directly with adults, teens, and families.”",https://care.headway.co/providers/amanda-silvers?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Affirming', 'Solution-oriented', 'Warm']"
Habibi Feliciano Perez,"Therapist, Virtual","“I focus on LGBTQ individuals, couples, and families, where I bring my lived experience as a gay man of Arabic and Latino descent.”",https://care.headway.co/providers/habibi-feliciano-perez?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Affirming', 'Empowering', 'Warm']"
Ejay Faralan,"Therapist, Virtual","“My clinical work includes supporting queer, AAPI, and BIPOC individuals with an affirming and culturally responsive approach.”",https://care.headway.co/providers/ejay-faralan?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Bipolar disorder', 'Chronic conditions']","['Direct', 'Humorous', 'Solution-oriented']"
Kurt Helfrich,"Therapist, Virtual",“I strive to provide a safe and nurturing environment to allow every individual to make the changes needed to reach their goals.”,https://care.headway.co/providers/kurt-helfrich?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'Depression', 'Grief or loss']","['Empowering', 'Open-minded', 'Warm']"
Jesse Nova,"Therapist, Virtual",“My goal is to not only make you feel well and be well but to help find your inner strength and thrive in all aspects of life.”,https://care.headway.co/providers/jesse-nova?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Affirming', 'Empowering', 'Warm']"
Alexander Graham,"Therapist, Virtual","“I specialize in supporting people who feel overwhelmed by anxiety, depression, stress, ADHD, trauma, life transitions and much more. I have extensive experience working with high acuity teens, and I also work with adults of all ages who are...”",https://care.headway.co/providers/alexander-graham?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Affirming', 'Open-minded', 'Warm']"
Dr. Sky Lea Ross,"Therapist, Virtual","“Operating primarily from a client-centered lens, Dr. Sky views her clients as the experts of their own lives, providing them with empathy, empowerment, and focusing on strengths rather than deficits.”",https://care.headway.co/providers/sky-lea-ross?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Bipolar disorder', 'Chronic conditions', 'Cultural & ethnic issues']","['Affirming', 'Empowering', 'Warm']"
Elizabeth Gonzalez Morales,"Therapist, Virtual","“I am a Latinx, queer, non-binary therapist committed to providing affirming, culturally responsive, and relational care.”",https://care.headway.co/providers/elizabeth-gonzalez-morales?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Holistic', 'Inquisitive', 'Warm']"
